Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena1_Ind0;Y_Arena1_Ind0;X_Arena2_Ind0;Y_Arena2_Ind0;X_Arena3_Ind0;Y_Arena3_Ind0;X_Arena4_Ind0;Y_Arena4_Ind0;X_Arena5_Ind0;Y_Arena5_Ind0;X_Arena6_Ind0;Y_Arena6_Ind0;X_Arena7_Ind0;Y_Arena7_Ind0;X_Arena8_Ind0;Y_Arena8_Ind0
19170;641.48;531.2078958;221.7615848;939.4190476;320.5238095;1300.934202;353.4388579;547.7060421;627.4086897;994.8141026;543.0192308;1216.781575;506.99579;593.6030231;931.3046937;858.381828;822.5290323;1300.5;955.5
19171;641.51;534.9741817;221.7857692;939.2150538;320.2043011;1300.817844;353.4200743;547.845735;627.2486388;994.877193;541.5263158;1216.711192;507.2277372;593.7315705;930.9551282;856.7047565;820.0686744;1300.301587;955.8253968
19172;641.55;538.0467437;219.8492647;938.2298851;319.8735632;1300.875;353.4104478;547.6024033;627.237722;1027.720994;565.1270718;1216.741623;506.991313;592.5900383;931.1984674;856.304436;818.973553;1301;955.5
19173;641.58;540.6881414;219.413531;938.5;320;1300.908582;353.4402985;548.3533835;627.7172932;1027.464789;563.5680751;1216.677974;507.1253687;592.4957463;931.2892498;856.9861557;816.886197;1301;955.5
19174;641.61;542.3300371;217.2266172;938.4509804;319.6960784;1300.257143;353.5636905;547.8687475;626.6058423;955.6175711;478.0516796;1216.473254;506.9551758;592.637783;930.1935988;856.3195529;814.8574491;1309.534722;949.4097222
19175;641.65;543.1058957;215.0047619;939.3819444;320.3263889;1300.832406;353.4112554;548.3940828;627.069428;956;471;1216.349099;506.9494494;592.7636364;929.8462121;856.6272804;813.7024655;1309.53125;949.5625
19176;641.68;542.9808456;213.5947209;939.6260163;320.6178862;1301.078125;353.4160156;548.8234214;626.7922173;NA;NA;1216.235456;506.9258427;593.6334257;931.0415512;856.7789717;813.6426386;1308.818182;950.3636364
19177;641.71;543.0920114;212.1892534;939.1728395;319.7530864;1301.155884;353.2988293;548.8353994;626.3157713;NA;NA;1216.38009;506.8926596;593.6314815;931.062963;857.0910827;813.856104;1309.093333;950.1733333
19178;641.75;542.5515569;208.9989791;940.5619048;321.1809524;1300.890557;353.3802376;548.74434;626.2957158;NA;NA;1216.35693;506.9669647;593.628598;930.9805014;857.2143325;813.6323647;1309.53125;949.5625
19179;641.78;542.0455418;208.2705075;940.3229167;320.9895833;1300.886378;353.398619;549.0003208;625.9287777;954.3571429;482.7380952;1216.394853;507.0588235;593.3956563;931.1926346;859.5650712;815.2387768;1309.53125;949.5625
19180;641.82;540.6479648;206.5321782;940.017094;321.0598291;1300.89351;353.3793321;548.5091352;622.1984876;NA;NA;1216.569322;507.1172566;592.6851852;930.1597222;859.4866359;814.8096006;1308.818182;950.3636364
19181;641.85;538.5961749;204.2226776;939.1269841;320.4206349;1300.494664;353.4369115;548.3120697;621.9719522;943;447;1216.309365;506.9058562;593.6314286;930.9438095;859.632688;815.1001477;1307.5;951
19182;641.88;536.9640463;202.4232176;939.4489796;320.3469388;1300.573013;353.4245225;548.6473349;622.0626893;NA;NA;1216.615165;507.3414402;592.8432776;929.8774861;859.6604383;814.9642069;1305.269006;952.3216374
19183;641.92;536.3732657;203.2406091;939.1904762;320.2666667;1300.513682;353.4334577;548.2850614;622.4178637;1006.5;527;1216.445068;507.1947172;593.6538813;931.0219178;859.293224;815.5688449;1305.327684;952.1581921
19184;641.95;536.285614;203.674386;939.9202899;320.4492754;1300.839101;353.3436551;548.4451701;621.9117051;NA;NA;1216.240552;507.3078973;592.9448124;930.0816777;859.4744293;816.26541;1302;955
19185;641.98;534.6607294;197.5945717;939.6734694;320.4693878;1300.682957;353.4066416;548.6113238;623.1913817;955.0377715;430.8611898;1216.301724;507.3608716;592.532294;930.4521158;859.3683246;815.9179021;1302.215686;954.627451
19186;642.02;536.6325496;200.8105118;939.1626016;320.1544715;1301.380561;353.1998631;548.409307;622.4822964;NA;NA;1216.651888;507.3309876;592.6619938;930.7858255;858.2486351;813.7679709;1301.30303;954.3030303
19187;642.05;538.3414387;202.1317123;939.2222222;320.0854701;1300.977459;353.3094262;548.3727407;622.5861209;NA;NA;1216.715515;507.3300768;592.7609195;930.732567;859.644557;814.8625985;1307.784314;951.372549
19188;642.08;540.4870871;203.2792793;939.2222222;320.0854701;1300.960581;353.2572614;548.3372069;622.85141;NA;NA;1216.703729;507.2937385;592.5126984;930.5214286;859.6021149;814.6366004;1307;952
19189;642.12;541.9694444;202.5923611;940.3030303;321.1333333;1301.187243;353.2716049;548.0299461;622.8517355;NA;NA;1216.835862;507.3016092;592.5106383;930.5855004;859.7802545;813.4722947;1306.793651;952.3650794
19190;642.15;543.604534;203.7942905;940.1428571;320.968254;1301.003287;353.0552268;547.6861834;623.468458;1015;558;1216.636176;507.3060523;592.7466667;930.0688889;859.8315222;813.3423507;1306.244444;952.7777778
19191;642.18;546.3666667;206.825641;938.6989247;319.7849462;1301.517845;353.2228956;547.5511864;624.3120339;NA;NA;1216.978112;507.4343365;592.6885865;930.8374906;860.2795772;813.1021518;1307;952.5
19192;642.22;547.372549;205.2156863;938.6989247;319.7849462;1303.211364;352.2689394;547.0967567;624.4535242;991;447;1216.684992;507.2528416;592.0995885;930.8115226;860.3304715;812.8249736;1305.642857;952.2857143
19193;642.25;546.1754386;203.7719298;938.5357143;319.8928571;1303.192825;352.7197309;547.252545;625.4550781;NA;NA;1216.824747;507.2912256;592.2845723;931.2142286;860.4665011;813.1088528;1307;952.5
19194;642.28;NA;NA;939.042735;320.1623932;1301.664583;353.2104167;545.5920398;619.3781095;NA;NA;1216.602302;507.2790698;592.8697318;930.6574713;860.3600832;813.3541388;1307;952.5
19195;642.32;NA;NA;937.5;319.2444444;1301.064494;353.0278344;539.4949098;630.2575968;NA;NA;1216.066574;506.8645251;592.0452092;929.4473684;859.5621456;813.4268966;1306.049383;952.0123457
19196;642.35;NA;NA;940.9747475;321.9191919;1301.772541;353.2561475;539.2132059;631.154041;996;531.5;1216.605717;507.2409639;592.7944067;930.739229;859.9768001;814.3543606;1307;952.5
19197;642.38;NA;NA;940.9538462;321.9589744;1301.907631;353.0187416;548.0988087;624.5268314;995.7235772;531.3495935;1216.685816;507.2680851;592.5805243;930.3220974;859.632209;814.6638356;1306.791667;952.1666667
19198;642.42;NA;NA;938.7466667;319.8533333;1301.247416;353.0348837;547.5885476;626.0185817;979.5;503;1216.524178;507.0997653;592.0841751;929.2767677;859.8588133;814.9296684;1310.230769;947.5
19199;642.45;537.000551;224.7680441;938.5555556;319.3888889;1301.409266;353.1512227;546.8346738;627.4164433;979;504.5;1216.502251;507.5238095;592.5715308;930.2989986;859.5048977;817.7198138;1237.5;824.5
19200;642.48;NA;NA;919.5533981;233.1278317;1301.634766;353.0338542;539.6761905;628.9714286;964.5;473;1217.356119;507.4928353;592.3185185;930.4249158;857.7429602;825.8994313;1236.544218;824.4557823
19201;642.52;NA;NA;911;244.5;1301.342803;352.977904;539.5833333;628.537037;975.418008;441.0246479;1216.946274;507.4594721;599.6857749;936.9978769;NA;NA;1197.775828;783.8011696
19202;642.55;NA;NA;NA;NA;1301.319923;353.0025543;516.5;532;984.7516134;446.4757617;1216.79706;507.4338395;579.4197531;943.5123457;854;968.5;1205.30303;882.3030303
19203;642.58;570.8834154;276.8883415;945.2242424;301.6323232;1301.631541;353.0401434;NA;NA;941.9624413;548.0375587;1220.394234;505.5881081;530.9722222;941.5277778;NA;NA;1196.136253;864.4549878
19204;642.62;576.3985185;272.3496296;946.4054422;301.3319728;1303.625;352.3909574;561.0216143;432.0449173;850.9609375;582.6328125;1233.795238;504.9079365;725;836;1015.5;852;1196.082192;864.239726
19205;642.65;579.9103215;269.8747885;945.5865209;301.0983607;1303.686111;352.1805556;562.7942342;430.8969369;850.7554039;582.8464164;1234.207814;504.9127182;617;726;NA;NA;1191;864
19206;642.69;585.1165846;266.1116585;929.5;310.5;1304.689829;351.8650554;562.7482846;430.9237992;850.4471831;582.9284038;1234.211712;504.7234234;617;726;1022.913534;922.637218;1185.301648;816.7870722
19207;642.72;589;264;929.5;311;1304.016575;352.1685083;564.4491939;430.0633671;851.0791367;582.6582734;1234.186498;504.6405063;621.9;726.6;1019.913852;927.3147332;1148.221596;978.1389671
19208;642.75;592.5882353;258.7173203;929.4632768;310.0451977;1303.953832;352.1366574;563.7189696;430.2330211;850.8106667;582.5666667;1234.155332;504.6649874;617.5;726;1022.531915;923.2819149;1148.356408;978.1861553
19209;642.79;597.3695652;256.8242754;929.5;310;1303.90397;352.1034164;562.9404366;430.7473178;850.903268;582.6130719;1233.788916;504.6845966;617.5;726;1022.514373;923.4648318;1148.057078;977.921396
19210;642.82;600.209622;254.2147766;929.4411765;310.1568627;1304.382407;352.2046296;562.2942478;431.0143805;850.9325236;582.6545209;1234.36802;504.6302876;619.5111111;726.4555556;1023.578629;921.5383065;1148.008477;977.8724992
19211;642.85;604.4759536;252.4593698;929.1291667;310.5625;1304.440741;352.1796296;562.4376321;431.1427061;851.0134953;582.6869096;1233.895122;504.6837398;619.5111111;726.4555556;1023.578629;921.5383065;1147.830253;977.6687201
19212;642.89;607.6375405;250.9805825;929.5;310.5;1304.440741;352.1796296;562.7708333;431.0625;850.9973009;582.7516869;1234.076475;504.6533666;619.5111111;726.4555556;1024.921434;919.3951182;1147.085524;977.3308798
